phase,sigma_rel,epoch,method,n_cities,observed_length_mean_mean,observed_length_mean_std,true_length_mean_mean,true_length_mean_std,baseline_observed_mean_mean,baseline_observed_mean_std,length_mean,length_std,gap_percent_mean,gap_percent_std,time_ms_mean,time_ms_std,count,observed_length_mean_sem,observed_length_mean_ci95,true_length_mean_sem,true_length_mean_ci95,baseline_observed_mean_sem,baseline_observed_mean_ci95,length_sem,length_ci95,gap_percent_sem,gap_percent_ci95,time_ms_sem,time_ms_ci95
train,0.0,2,Attention:greedy_rollout,20,105.4391632080078,0.0,105.4391632080078,0.0,76.32261657714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,2,POMO,20,81.57406616210938,0.0,81.57406616210938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,2,PointerNet:greedy_rollout,20,101.75365447998048,0.0,101.75365447998048,0.0,96.7783432006836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,3,Attention:greedy_rollout,20,98.6282958984375,0.0,98.6282958984375,0.0,56.18316650390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,3,POMO,20,77.61160278320312,0.0,77.61160278320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,3,PointerNet:greedy_rollout,20,106.42942810058594,0.0,106.42942810058594,0.0,93.7400131225586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,4,Attention:greedy_rollout,20,99.2048568725586,0.0,99.2048568725586,0.0,55.12865829467773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,4,POMO,20,70.28618621826172,0.0,70.28618621826172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,4,PointerNet:greedy_rollout,20,104.3180694580078,0.0,104.3180694580078,0.0,88.632080078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,5,Attention:greedy_rollout,20,97.09365844726562,0.0,97.09365844726562,0.0,52.41843795776367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,5,POMO,20,65.26017761230469,0.0,65.26017761230469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,5,PointerNet:greedy_rollout,20,101.68862915039062,0.0,101.68862915039062,0.0,83.7197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,6,Attention:greedy_rollout,20,94.51174926757812,0.0,94.51174926757812,0.0,52.70507049560547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,6,POMO,20,62.83184051513672,0.0,62.83184051513672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,6,PointerNet:greedy_rollout,20,104.4421615600586,0.0,104.4421615600586,0.0,88.47081756591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,7,Attention:greedy_rollout,20,89.87435150146484,0.0,89.87435150146484,0.0,51.4789924621582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,7,POMO,20,60.2891845703125,0.0,60.2891845703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,7,PointerNet:greedy_rollout,20,105.10336303710938,0.0,105.10336303710938,0.0,85.06654357910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,8,Attention:greedy_rollout,20,89.53211212158203,0.0,89.53211212158203,0.0,52.69681167602539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,8,POMO,20,58.42306518554688,0.0,58.42306518554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,8,PointerNet:greedy_rollout,20,105.4164810180664,0.0,105.4164810180664,0.0,84.32740783691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,9,Attention:greedy_rollout,20,85.45162963867188,0.0,85.45162963867188,0.0,53.07552337646485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,9,POMO,20,57.07892990112305,0.0,57.07892990112305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,9,PointerNet:greedy_rollout,20,103.86813354492188,0.0,103.86813354492188,0.0,84.71088409423828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,10,Attention:greedy_rollout,20,88.27576446533203,0.0,88.27576446533203,0.0,53.64804458618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,10,POMO,20,54.948219299316406,0.0,54.948219299316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,10,PointerNet:greedy_rollout,20,103.77564239501952,0.0,103.77564239501952,0.0,83.16084289550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,11,Attention:greedy_rollout,20,88.82566833496094,0.0,88.82566833496094,0.0,53.13935089111328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,11,POMO,20,53.33872985839844,0.0,53.33872985839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,11,PointerNet:greedy_rollout,20,104.73033905029295,0.0,104.73033905029295,0.0,84.18907165527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,12,Attention:greedy_rollout,20,87.24197387695312,0.0,87.24197387695312,0.0,52.11392974853516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,12,POMO,20,52.79978561401367,0.0,52.79978561401367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,12,PointerNet:greedy_rollout,20,101.53982543945312,0.0,101.53982543945312,0.0,80.79034423828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,13,Attention:greedy_rollout,20,85.75682830810547,0.0,85.75682830810547,0.0,51.67307662963867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,13,POMO,20,52.28214263916016,0.0,52.28214263916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,13,PointerNet:greedy_rollout,20,106.19425964355467,0.0,106.19425964355467,0.0,82.84293365478516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,14,Attention:greedy_rollout,20,80.9837646484375,0.0,80.9837646484375,0.0,51.38888168334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,14,POMO,20,51.52573013305664,0.0,51.52573013305664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,14,PointerNet:greedy_rollout,20,104.07833862304688,0.0,104.07833862304688,0.0,81.23555755615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,15,Attention:greedy_rollout,20,83.63494110107422,0.0,83.63494110107422,0.0,55.59896469116211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,15,POMO,20,49.36007690429688,0.0,49.36007690429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,15,PointerNet:greedy_rollout,20,102.12744903564452,0.0,102.12744903564452,0.0,83.02593231201172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,16,Attention:greedy_rollout,20,81.9033203125,0.0,81.9033203125,0.0,56.273681640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,16,POMO,20,49.41397857666016,0.0,49.41397857666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,16,PointerNet:greedy_rollout,20,104.79408264160156,0.0,104.79408264160156,0.0,81.94190979003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,17,Attention:greedy_rollout,20,81.92637634277344,0.0,81.92637634277344,0.0,57.4369010925293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,17,POMO,20,48.83662414550781,0.0,48.83662414550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,17,PointerNet:greedy_rollout,20,104.69239044189452,0.0,104.69239044189452,0.0,79.70053100585938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,18,Attention:greedy_rollout,20,77.92674255371094,0.0,77.92674255371094,0.0,57.72289276123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,18,POMO,20,49.59967041015625,0.0,49.59967041015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,18,PointerNet:greedy_rollout,20,103.1091766357422,0.0,103.1091766357422,0.0,79.52295684814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,19,Attention:greedy_rollout,20,79.56900024414062,0.0,79.56900024414062,0.0,61.27452087402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,19,POMO,20,48.443016052246094,0.0,48.443016052246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,19,PointerNet:greedy_rollout,20,103.60993957519533,0.0,103.60993957519533,0.0,82.11180114746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,20,Attention:greedy_rollout,20,77.22516632080078,0.0,77.22516632080078,0.0,61.09317398071289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,20,POMO,20,47.82143020629883,0.0,47.82143020629883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,20,PointerNet:greedy_rollout,20,106.66954803466795,0.0,106.66954803466795,0.0,83.89218139648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,21,Attention:greedy_rollout,20,76.19839477539062,0.0,76.19839477539062,0.0,61.441532135009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,21,POMO,20,47.90940475463867,0.0,47.90940475463867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,21,PointerNet:greedy_rollout,20,103.33004760742188,0.0,103.33004760742188,0.0,81.4618148803711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,22,Attention:greedy_rollout,20,76.48091888427734,0.0,76.48091888427734,0.0,60.80063629150391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,22,POMO,20,48.086891174316406,0.0,48.086891174316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,22,PointerNet:greedy_rollout,20,100.34529113769533,0.0,100.34529113769533,0.0,79.48027038574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,23,Attention:greedy_rollout,20,74.80039978027344,0.0,74.80039978027344,0.0,61.14908599853516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,23,POMO,20,48.489376068115234,0.0,48.489376068115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,23,PointerNet:greedy_rollout,20,104.0643539428711,0.0,104.0643539428711,0.0,81.16917419433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,24,Attention:greedy_rollout,20,72.06328582763672,0.0,72.06328582763672,0.0,61.433326721191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,24,POMO,20,47.67912673950195,0.0,47.67912673950195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,24,PointerNet:greedy_rollout,20,105.40222930908205,0.0,105.40222930908205,0.0,81.90380859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,25,Attention:greedy_rollout,20,72.80377960205078,0.0,72.80377960205078,0.0,60.86199569702149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,25,POMO,20,46.70580291748047,0.0,46.70580291748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,25,PointerNet:greedy_rollout,20,104.04051208496094,0.0,104.04051208496094,0.0,78.7951889038086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,26,Attention:greedy_rollout,20,75.48794555664062,0.0,75.48794555664062,0.0,61.65874099731445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,26,POMO,20,47.907806396484375,0.0,47.907806396484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,26,PointerNet:greedy_rollout,20,103.44259643554688,0.0,103.44259643554688,0.0,80.86530303955078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,27,Attention:greedy_rollout,20,73.22185516357422,0.0,73.22185516357422,0.0,60.29754638671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,27,POMO,20,47.16521835327149,0.0,47.16521835327149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,27,PointerNet:greedy_rollout,20,103.4856185913086,0.0,103.4856185913086,0.0,78.2484359741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,28,Attention:greedy_rollout,20,72.54500579833984,0.0,72.54500579833984,0.0,61.11800003051758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,28,POMO,20,47.41051864624024,0.0,47.41051864624024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,28,PointerNet:greedy_rollout,20,103.77076721191406,0.0,103.77076721191406,0.0,80.11421966552734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,29,Attention:greedy_rollout,20,73.3224105834961,0.0,73.3224105834961,0.0,61.77480316162109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,29,POMO,20,47.663352966308594,0.0,47.663352966308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,29,PointerNet:greedy_rollout,20,101.25826263427734,0.0,101.25826263427734,0.0,80.35002136230469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,30,Attention:greedy_rollout,20,72.25292205810547,0.0,72.25292205810547,0.0,61.30311584472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,30,POMO,20,47.60742950439453,0.0,47.60742950439453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,30,PointerNet:greedy_rollout,20,102.88693237304688,0.0,102.88693237304688,0.0,79.5987548828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,31,Attention:greedy_rollout,20,67.5473861694336,0.0,67.5473861694336,0.0,60.868202209472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,31,POMO,20,46.53985595703125,0.0,46.53985595703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,31,PointerNet:greedy_rollout,20,103.88150024414062,0.0,103.88150024414062,0.0,81.8956298828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,32,Attention:greedy_rollout,20,68.44782257080078,0.0,68.44782257080078,0.0,59.038368225097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,32,POMO,20,46.60014343261719,0.0,46.60014343261719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,32,PointerNet:greedy_rollout,20,102.5981216430664,0.0,102.5981216430664,0.0,82.6552734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,33,Attention:greedy_rollout,20,68.70918273925781,0.0,68.70918273925781,0.0,59.53315353393555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,33,POMO,20,46.53815460205078,0.0,46.53815460205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,33,PointerNet:greedy_rollout,20,105.48600769042967,0.0,105.48600769042967,0.0,80.83815002441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,34,Attention:greedy_rollout,20,69.40736389160156,0.0,69.40736389160156,0.0,61.39093399047852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,34,POMO,20,46.53612518310547,0.0,46.53612518310547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,34,PointerNet:greedy_rollout,20,101.8383331298828,0.0,101.8383331298828,0.0,79.38165283203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,35,Attention:greedy_rollout,20,68.8776626586914,0.0,68.8776626586914,0.0,58.76386260986328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,35,POMO,20,45.7182731628418,0.0,45.7182731628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,35,PointerNet:greedy_rollout,20,104.60335540771484,0.0,104.60335540771484,0.0,83.36949920654297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,36,Attention:greedy_rollout,20,67.37381744384766,0.0,67.37381744384766,0.0,58.043113708496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,36,POMO,20,45.84869384765625,0.0,45.84869384765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,36,PointerNet:greedy_rollout,20,103.41327667236328,0.0,103.41327667236328,0.0,79.3592300415039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,37,Attention:greedy_rollout,20,66.32257080078125,0.0,66.32257080078125,0.0,56.17056274414063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
